iter	PRAUC	Logloss
0	0.4998276715	0.6874465319
1	0.537102331	0.6813960903
2	0.5386255805	0.6758050161
3	0.5392848521	0.6707685465
4	0.5420244989	0.6653392849
5	0.5415457439	0.6605347176
6	0.5402167544	0.6553373265
7	0.5401747815	0.6507243068
8	0.5410889382	0.6462397138
9	0.5421555572	0.6419901237
10	0.5428316746	0.6372569127
11	0.5420598008	0.6331363837
12	0.5421470262	0.6285961434
13	0.5427461833	0.6245942287
14	0.5474248151	0.6200457676
15	0.5526143891	0.6159385285
16	0.5571044913	0.6117632739
17	0.5633673464	0.6075076052
18	0.5624243554	0.603959715
19	0.5638916497	0.6002283226
20	0.5636776225	0.5964706356
21	0.5644938617	0.5928437888
22	0.5667446157	0.5891241752
23	0.568764566	0.5853018361
24	0.5697970312	0.5820348958
25	0.5704856013	0.5785089812
26	0.5735152687	0.5748849774
27	0.5736928479	0.571627227
28	0.5764826938	0.5680324258
29	0.5774220507	0.5649518747
30	0.5777845991	0.5618716503
31	0.5778162242	0.5590343058
32	0.5773908982	0.5561075553
33	0.5800016796	0.5529077618
34	0.5795391818	0.5501361471
35	0.579988973	0.5471437688
36	0.5804500881	0.5444459195
37	0.5807963384	0.5419321762
38	0.5810513598	0.5392217794
39	0.5815475139	0.5365606458
40	0.5818056231	0.533937133
41	0.5831099866	0.5313182194
42	0.584130275	0.5289966128
43	0.5849566697	0.526408173
44	0.5847677727	0.5243014644
45	0.5843212644	0.5220792378
46	0.5854381289	0.519774093
47	0.5850419925	0.5176012121
48	0.5864274311	0.5153125185
49	0.58832876	0.5131261265
50	0.5886018983	0.5110071118
51	0.5891469807	0.5089659979
52	0.5899331028	0.5067598152
53	0.5910433425	0.5046245374
54	0.5928529223	0.5025131891
55	0.5932305852	0.5007063853
56	0.5937633194	0.4987273063
57	0.5938623552	0.4969685713
58	0.5938304779	0.4953373392
59	0.5945339693	0.4934647619
60	0.5942460783	0.4919317845
61	0.5947735618	0.490126889
62	0.595054029	0.4885652343
63	0.5954559384	0.4869694523
64	0.5966605905	0.4851225904
65	0.597641241	0.4832923945
66	0.598549974	0.4815616174
67	0.5993325374	0.4801390811
68	0.6001366709	0.4784987649
69	0.6011331459	0.4770565001
70	0.6014357099	0.4755911425
71	0.6017606798	0.4742942512
72	0.6017946998	0.4729777755
73	0.6030892141	0.471471841
