iter	Passed	Remaining
0	55	277855
1	86	216673
2	109	182872
3	122	153119
4	144	143907
5	157	130933
6	169	120752
7	180	112655
8	194	107610
9	209	104384
10	223	101427
11	238	99092
12	252	96976
13	266	94797
14	281	93402
15	294	91850
16	319	93713
17	338	93744
18	354	92974
19	371	92594
20	388	92144
21	405	91659
22	421	91143
23	436	90416
24	453	90171
25	468	89619
26	487	89752
27	507	90158
28	525	90092
29	540	89591
30	556	89143
31	568	88210
32	582	87703
33	599	87602
34	616	87475
35	632	87227
36	651	87421
37	667	87176
38	683	86899
39	698	86574
40	715	86549
41	729	86124
42	748	86295
43	763	86015
44	781	86083
45	806	86816
46	833	87851
47	861	88885
48	881	89110
49	900	89166
50	917	89040
51	934	88926
52	950	88748
53	964	88338
54	979	88087
55	995	87875
56	1010	87662
57	1025	87392
58	1041	87250
59	1056	86993
60	1082	87678
61	1098	87509
62	1116	87512
63	1135	87585
64	1151	87422
65	1166	87168
66	1183	87134
67	1199	87020
68	1217	86997
69	1238	87209
70	1257	87266
71	1275	87322
72	1308	88323
73	1342	89381
74	1369	89948
75	1400	90715
76	1539	98424
77	1570	99117
78	1588	98942
79	1602	98555
80	1616	98183
81	1631	97859
82	1646	97564
83	1661	97240
84	1677	96996
85	1690	96617
86	1704	96279
87	1718	95917
88	1740	96024
89	1759	96013
90	1784	96256
91	1798	95945
92	1814	95738
93	1828	95440
94	1844	95215
95	1859	94995
96	1875	94779
97	1890	94567
98	1905	94313
99	1919	94074
100	1936	93906
101	1953	93783
102	1969	93658
103	1984	93405
104	1999	93201
105	2013	92981
106	2030	92830
107	2046	92705
108	2067	92786
109	2085	92689
110	2099	92485
111	2115	92327
112	2131	92164
113	2145	91975
114	2162	91863
115	2179	91762
116	2194	91567
117	2212	91548
118	2229	91440
119	2245	91331
120	2262	91237
121	2278	91121
122	2294	90959
123	2313	90955
124	2330	90897
125	2349	90876
126	2363	90699
127	2380	90593
128	2397	90516
129	2412	90388
130	2428	90264
131	2442	90061
132	2460	90027
133	2474	89840
134	2489	89707
135	2504	89561
136	2518	89398
137	2533	89249
138	2555	89364
139	2590	89929
140	2609	89935
141	2624	89794
142	2656	90237
143	2669	90019
144	2688	90012
145	2701	89831
146	2719	89784
147	2737	89745
148	2757	89782
149	2774	89697
150	2786	89494
151	2800	89335
152	2817	89268
153	2832	89139
154	2848	89043
155	2864	88945
156	2878	88798
157	2893	88679
158	2909	88569
159	2922	88418
160	2936	88256
161	2959	88389
162	2975	88307
163	2996	88371
164	3013	88290
165	3028	88197
166	3044	88105
167	3060	88021
168	3078	87994
169	3093	87894
170	3108	87780
171	3124	87716
172	3140	87634
173	3154	87491
174	3171	87441
175	3187	87369
176	3205	87358
177	3220	87239
178	3236	87160
179	3252	87092
